volumen,pagina,fila_original,autor,titulo,formato,tomos,figuras,pasta,lugar,año,atado,numero,precio,transcripcion_original,continua_en_pagina,ejemplar_de,misma_obra_que
1,pagina_0144-OCR.json,7,Collantes (D. Jacobi),"Commentarii Pragmaticae in favorem rei frumentariae, Agricolarum",4º,,No,no consta,Matriti,1606,,225,14,"Collante (D. Jacobi) Commentarii Pragmaticae in favorem rei familiaris, Horicolarum 4° Mat. 1606 N. 225 14",,,
1,pagina_0144-OCR.json,8,[Anónimo],Collectio Opusculorum Singularium res Romanas illustrantium,8º,,No,no consta,Roma,1557,,30,8,Collectio Opusculorum Singularium ex Roma missillustantium 8° Romae 1557. ex 30 8,,,
1,pagina_0144-OCR.json,9,[Anónimo],[itt.] S.S. PP. Ecclesiae Toletanae: expensis et opera Emminent. D.D. Francisci a Lorenzana,fol.,2 tom.,No,pasta,Matriti,1782,,195,142,Collectio Opusculorum Singularium S.S. PP. Ecclesiae Tridentinae: expensis et opera Emminent. D.D. Francisci a Lorenzana fol. 2 tom. Pat. Atr. triti 1782 N. 195 142,,,
1,pagina_0144-OCR.json,10,Collenucio (M. Pandolfo),Compendio dell'istoria del Regno di Napoli emmentata per Gio. Ruscelli,8º,,No,no consta,Vinegia,1552,,158,6,Collemicio (M. Pandolfo) Compendio dell'istoria del Regno di Napoli commentata per Gio Ruscelli 8° Vinegia 1552 N. 158 6,,,
1,pagina_0144-OCR.json,11,Collenucio (M. Pandolfo),Su Historia de Napoles traducida al Español por Juan Vazquez,fol.,,No,no consta,Sevilla,1584,,16,45,Collemicio (M. Pandolfo) Su Historia de Nápoles traducida al Español por Juan Vazquez fol. Sevilla 1584 N. 16 45,,,
1,pagina_0144-OCR.json,12,Colmenares (Diego de),"Historia de la Ciudad de Segovia, y de Castilla",fol.,,No,no consta,Madrid,1640,,143,60,"Colmenares (Diego de) Historia de la Ciudad de Segovia, y de Castilla fol. Madrid. 1640 - Numero 143 60",,,
1,pagina_0145-OCR.json,1,Colmenares (Diego de),Genealogia de los Contrexas de san Juan en la Ciudad de Segovia,4º,,No,no consta,Madrid,1647,,212,12,id. Genealogia de los Contreras San Juan en la Ciudad de Segovia 4.º   Mad. 1647 N. 212 12,,,
1,pagina_0145-OCR.json,2,Colmenares (Diego de),[Genealogia de los Contrexas de san Juan en la Ciudad de Segovia],,,No,no consta,,,,293,12,id. Otro exemplar N. 293 12,,1|pagina_0145-OCR.json|1,
1,pagina_0145-OCR.json,3,Colmenero (Dn Joseph),Reprovacion del pernicioso abuso de los polvos de la guarango ó china,4º,,No,no consta,Salamanca,1697,,188,12,Colmenero (Dn Joseph) Reprobacion al pernicioso abuso de los polvos de la guarango ó china 4.º Salamanca 1697 N. 188 12,,,
1,pagina_0145-OCR.json,4,Coloma (Dn Carlos),Guerras de los Estados bajos,4º,,No,no consta,Amberes,1534,,146,24,Coloma (Dn Carlos) Guerras a los Estados bajos 4.º Amberes 1534 N. 146 24,,,
1,pagina_0145-OCR.json,5,Colombet (Antonii),Conciliatores super Codices,8º,,No,no consta,Lugd.,1542,,84,6,Colombet (Antonio) Conciliatores super Codices 8.º 1542 N. 84 6,,,
1,pagina_0145-OCR.json,6,Colombier (Mr.),"Instruccion para precaver la rabia, y curarla quando está confirmada, traducid. del Frances al Castell. por Lopez Somoza",8º,,No,pasta,Mad.,1786,,203,6,"Colombier (Mr.) Instruccion para prevenir la rabia, y curarla quando está confirmada del Francés al Castellano por Lopez 8.º Pasta Somoza 1786 N. 203 6",,,
1,pagina_0145-OCR.json,7,Colomesii (Pauli),Opuscula,16º,,No,no consta,Ultrajecti,1669,,251,8,Colomesii (Pauli) Opuscula 16.º Strajecti 1669 N. 251 8,,,
1,pagina_0145-OCR.json,8,Colon y Larreategui (Dn Felix),"Juzgados militares de España y sus Indias, tomo primero",4º,tomo primero,No,pasta,Mad.,1788,34,34,12,Colon y Larreategui (Dn Felix) Juzgados militares de España y sus Indias 4.º Pasta tomo primero 1788 Atad 34 12,,,
1,pagina_0145-OCR.json,9,Colon (Dn Joseph Juan),"Instruccion de Escrivanos Abogados, tom Seg.",4º,tom Seg.,No,no consta,Madrid,1756,33,33,6,Colon (Dn Joseph Juan) Instruccion a Escribanos Abogados 4.º tom Seg. 8.º Madrid 1756 Atad 33 6,,,
1,pagina_0145-OCR.json,10,Colonia (P. Dominic.),De Arte Rhetorica,12º,,No,no consta,Lugd.,1739,,19,8,Colonia (P. Dominic.) De Arte Rhetorica 12.º 1739 N. 19 8,,,
1,pagina_0145-OCR.json,11,Colonia (P.),La Religion Christiana autorizada por el testimonio de los antiguos autores gentiles traducid. al Castell. por D. Joseph de Elias,8º,2 tom.,No,pasta,Mad.,1785,,192,16,Colonia (P.) La Religion Christiana autorizada por el testimonio de los antiguos autores gentiles al Castellano por D. Joseph Ex Chis 8.º 2 tom. Mad. 1785 N. 192. Pasta 16,,,
1,pagina_0145-OCR.json,12,Columbi (Christophori) (et Americi Vespucii),Navigationes,fol.,,No,no consta,,,,35,12,Columbi (Christophori) (et Americi Vespucii) Navigationes fol. N. 35 12,,,
1,pagina_0145-OCR.json,13,Columbi (Christophori) (et Americi Vespucii),[Navigationes],fol.,,No,no consta,Basileae,1532,,120,120,Columbi (Christophori) (et Americi Vespucii) Madrid caed: fol. Basileae 1532 N. 120 120,,,1|pagina_0145-OCR.json|12
1,pagina_0145-OCR.json,14,Columella (L. Junius Moderatus),De Re Rustica,8º,,No,no consta,Lugd.,1541,16,16,6,Columella (L. Junius Moderatus) De Re Rustica 8.º Lugd. 1541 Atad 16 6,,,
1,pagina_0145-OCR.json,15,Columna (Hegidius),Romanus De Leonine Principum,8º may.,,No,no consta,Roma,1607,,318,8,Columna (Hegidius) Romanus De Leonine Principum 8.º may. Romae 1607 N. 318 8,,,
1,pagina_0146-OCR.json,1,Columna (Hegidius),[Eiusd.] Defensorium operarum. Div. thom,fol.,,No,no consta,Corduvae,1701,,109,18,Eiund. Defensorium operarum 59.840 18 69,,,
1,pagina_0146-OCR.json,2,[Anónimo],Dio. Thom,,,No,no consta,,1701,,109,69,Dio. Thom. fol. Colduvae 1701. N° 109... 18 69,,,
1,pagina_0146-OCR.json,3,Columnae (Guidonis),Historia destructionis troiae argentinae: traduc. al Castell. y añadida por Pedro Nuñez Delgado,fol.,,No,no consta,Medina del Campo,1587,,10,60,Columnae (Guidonis) Historia destructionis troiae argentinae: traduc. al Castell. y añadida por Pedro Nuñez Delgado: fol. Medina del camp. 1587. N° 10 60 60,,,
1,pagina_0146-OCR.json,4,Coluthus thebanus,De Raptu Elenae: traduc. del Griego en verso latino por el P. Felipe Scio,4º,,No,no consta,Madrid,1770,,13,10,Cluthus thebanus De Raptu Elenae: traduc. del Griego en verso latino por el P. Felipe. Sio: 4° Madrid 1770. N° 13 10 10,,,
1,pagina_0146-OCR.json,5,Comazzi (Gio Battista),La Morale dei Principi,12º,,No,no consta,Venetia,1700,,317,5,Comazzi (Gio Battista) La Morale dei Principi: 12° Venetia 1700. N° 317 5 5,,,
1,pagina_0146-OCR.json,6,Comazzi (Gio Battista),[itt.] La mente del Sabio traducid. del italiano en Español por Gerardo de la Torre,8º,,No,pasta,Zaragoza,1744,2,4,4,Comazzi (Gio Battista) La mente del Sabio traducido del italiano en Español por Gerardo de la Torre: 8° Zaragoza 1744. Atad 2 Parta 4 4,,,
1,pagina_0146-OCR.json,7,Comazzi (Gio Battista),[itt.] En italiano,12º,,No,no consta,Viena,1695,,114,4,Comazzi (Gio Battista) En italiano: 12° Viena 1695. N° 114 4 4,,,
1,pagina_0146-OCR.json,8,Combes (P. Francisco),Historia de Mindanas [Mindanao],fol.,,No,no consta,Madrid,1667,,121,30,Combes (P. Francisco) Historia de Indias: fol. Mad. 1667. N° 121 30 30,,,
1,pagina_0146-OCR.json,9,[Anónimo],Comedias Varias,4º,5 tom.,No,no consta,,1751,,7,60,Comedia Varia 4° 5 tom. Atad 1751. N° 7 60 60,,,
1,pagina_0146-OCR.json,10,Comella (D. Luciano),Cecilia viuda: Comedia tercera parte,8º,,No,no consta,Madrid,1787,31,4,4,Cornella (D. Luciano) Cecilia viuda: Comedia tercera parte 8° Mad. 1787. Atad 31 4 4,,,
1,pagina_0146-OCR.json,11,Comines (M. Philippe),Ses memoires augmentees par Denis Godefroy,8º,2 tom.,No,pasta,La Haye,1682,,158,24,Corines (M. Philippe) Ses memoires augmentees par Denis Godefroy: 8° 2 tom. Par. Haye 1682. N° 158 24 24,,,
1,pagina_0146-OCR.json,12,Comines (Pedro),Diario de lo sucedido en el ataque de Barcelona,8º,,No,no consta,La Haye,1759,,158,4,Corines (Pedro) Diario de lo sucedido en el ataque a Barcelona: 8° Haye 1759. N° 158 4 4,,,
1,pagina_0146-OCR.json,13,Commandinus (Fridericus),De Centro gravitatis solidorum,4º,,No,no consta,Bononiae,1565,,40,6,Commandinus (Fridericus) De Centro gravitatis solidorum: 4° Bononiae 1565. N° 40 6 6,,,
1,pagina_0146-OCR.json,14,[Anónimo],Commentarius Edicti Jurisdictionis Praesidiar[iae]... um Franciae Executorum,4º,,No,no consta,Lugduni,1556,,258,10,Commentarius Edicti Jurisdictionis Praefecturae Dum Franciae Executorum 4° duod. 1556. N° 258 10 10,,,
1,pagina_0146-OCR.json,15,[Anónimo],Commerce de la Hollande,12º,3 tom.,No,pasta,Amsterdam,1768,,49,36,Commexie de la Hollande: 12° Last. 3 tom. Amsterdam 1768. N° 49 36 36,,,
1,pagina_0146-OCR.json,16,Company (Fr. Joaquin),Vida del B. Nicolas Factor,4º,,No,no consta,Valencia,1787,,290,10,Company (Fr. Joaquin) Vida del D. Nicolas Fartor: 4° Salencia 1787. N° 290 10 10,,,
1,pagina_0146-OCR.json,17,[Anónimo],Compendio de las antiguedades Romanas: traducido del franc. al Castell. por Perez Pastor,8º,,No,no consta,Madrid,1788,,262,20,Compendio de las antiguedades Romanas traducido del franc. al castell. por Perez Pastor: 8° Madrid 1788. N° 262 20,,,
1,pagina_0147-OCR.json,0,[Anónimo],[Compendio de las antiguedades Romanas: traducido del franc. al Castell. por Perez Pastor],8º,,No,no consta,Madrid,1771,20,,20,Itt. Otro exemplar: 8°. Mad. 1771 Atad 20,,1|pagina_0146-OCR.json|17,
1,pagina_0147-OCR.json,1,[Anónimo],Compendio delle Sentenze pui notabili della Politica de Bovadiglia,4º,,No,no consta,Lecce,1661,,263,8,Compendio delle Sentenze più notabili della Politica in Bovadiglia 4.º Lecce 1661 N.263 8,,,
1,pagina_0147-OCR.json,2,[Anónimo],[itt.] De Artilleria para el servicio de la Marina,4º,,Sí,no consta,,1754,,191,10,De Artilleria para el servicio de la Marina 4.º Lam. 1754 N.191 10,,,
1,pagina_0147-OCR.json,3,[Anónimo],[itt.] De Mathematicas para las Escuelas del R. Cuerpo de Artilleria de Marina,4º,3 tom.,No,pasta,Cadiz,1785,34,47,45,"De Mathematicas para la Escuela, al R. Cuerpo de Artilleria de Marina 4.º 3 tom. Pasta Cadiz 1785 N.º 47 y etad 34 45",,,
1,pagina_0147-OCR.json,4,[Anónimo],"[itt.] De la Historia del antiguo testamento, traducid. del Franc. al Castel. por Nipho",8º,4 tom.,No,pasta,Madrid,1783,,203,32,"De la Historia Antigua tratamiento, traducido del Francés al Castellano por Nipho 8.º 4 tom. Pasta Mad. 1783 N.203 32",,,
1,pagina_0147-OCR.json,5,[Anónimo],[itt.] Al Descubrimiento y Conquista de la India oriental traduc. del Frances al castel. por D. Manl. Ramirez,4º,,No,no consta,Cordova,1773,,125,12,Del Descubrimiento y Conquista de la India Oriental del Francés al Castellano por D. Juan Ramírez 4.º Cor dova 1773 N.125 12,,,
1,pagina_0147-OCR.json,6,[Anónimo],"[itt.] De la Historia Sagrada del antiguo, y Nuevo Testamento traduc. del Italiano al castel",4º,,No,pasta,Madrid,1780,,191,16,De la Historia Sagrada del Antiguo y Nuevo Testamento del Italiano al Castellano 4.º Pasta Mad. 1780 N.191 16,,,
1,pagina_0147-OCR.json,7,[Anónimo],[itt.] De la Philosofia de Aristoteles traduc. en metro Castel,4º,,No,no consta,Estella,1547,,33,10,De la Philosophía de Aristóteles en metro Castellano 4.º Estella 1547 N.33 10,,,
1,pagina_0147-OCR.json,8,[Anónimo],[itt.] Do da Universid. de Cohimbra en tpo de los Jesuitas,fol.,,No,no consta,Lisboa,1771,,44,30,De la Universidad de Coimbra en tiempo de los Jesuitas fol. Lisboa 1771 num. 44. just. 30,,,
1,pagina_0147-OCR.json,9,[Anónimo],Compendium Privilegiorum Fratrum Minorum,4º,,No,no consta,Salamanca,1532,,311,12,Compendium Privilegiorum Fractuum Minorum 4.º Salmant. 1532 N.311 12,,,
1,pagina_0147-OCR.json,10,[Anónimo],[itt.] Historiae Congregationes de auxiliis,8º,,No,no consta,Delingae,1702,,94,5,Historiae Congregationis de auxiliis 8.º Delincas 1702 N.94 5,,,
1,pagina_0147-OCR.json,11,[Anónimo],Compilacion de los Despachos relativos a la traslacion del Cuerpo de San Eugenio Martyr desde Sandonis de Francia à toledo,4º,,No,no consta,Madrid,1566,,293,10,Compilacion de los Despachos relativos a la traslacion del Cuerpo de San Eugenio Maximo desde Sandomir a Francia a toledo 4.º Mad. 1566 N.293 10,,,
1,pagina_0147-OCR.json,12,Compre (Mn.),Diccionario abreviado de la Fabula traducida al Castellano,8º,,No,no consta,Madrid,1783,4,,8,Compre (Mn.) Diccionario abreviado de la Fabula traducida al Castellano 8.º Mad. 1783 etad. 4.º 8,,,
1,pagina_0147-OCR.json,13,Concha (Paulus),De Officio Praefecti Militaris Annonae,4º,,No,no consta,Madrid,1704,,57,12,Concha (Paulus) De Officio Praefecti Militaris Annuae 4.º Madrid 1704 N.57 12,,,
1,pagina_0148-OCR.json,1,Conchillos (Dn. Joseph),Propugnaculo historico y juridico de la Ciudad de Tudela,4º,,No,no consta,Zaragoza,1666,,293,8,Conchillos (Dr. Joseph) Propugnaculo historico 4º Zaragoza 1666. N.293. 8 60.375.,,,
1,pagina_0148-OCR.json,2,[Anónimo],Concilium Tridentinum ex editione Pauli Manutii,fol.,,No,no consta,Roma,1564,,97,60,Concilium Tridentinum ex editione Pauli Manutii fol. Romae 1664. N.97. 60,,,
1,pagina_0148-OCR.json,3,[Anónimo],[itt.] Traducid. al Castel. por D. Ignacio Lopez de Ayala,4º,,No,pasta,Madrid,1785,,188,24,López y Ayala traducido al castell. por D. Tomás López y Ayala 4º Pasta Mad. 1785. Num. 188. 24,,,
1,pagina_0148-OCR.json,4,[Anónimo],[itt.] Concilii cathechismus Pii V Pontificis Maximi jussu promulgatus,12º,,No,pasta,Coloniae,1687,,228,6,Pii V Pontificis Maximi jussu promulgatus 12º Pasta Coloniae 1687. N.228. 6,,,
1,pagina_0148-OCR.json,5,Concina (P. Daniel),Historia del Provabilismo,fol.,2 tom. 1 volum.,No,pasta,Madrid,1772,,107,42,Ancina (P. Daniel) Historia del Provanilismo fol. 2 tom. 1 volum. Pasta Mad. 1772. N.107. 42,,,
1,pagina_0148-OCR.json,6,Concina (P. Daniel),Compendio de Theologia moral traducido del Latin al Castel. por el P. Larra,fol.,2 tom.,No,no consta,Madrid,1770,,107,36,P. Pansa Compendio de Theologia moral traducido del latin al castell. fol. 2 tom. Mad. 1770. N.107. 36,,,
1,pagina_0148-OCR.json,7,Concina (P. Daniel),"Introducion a Confesores y penitentes traducido por Diaz Canel, y Lastra",8º,,No,no consta,Madrid,1766,14,14,5,"Díaz Canel Introduccion a confesores y penitentes traducido por Díaz Canel, y Latra. 8º Mad. 1766. Atad 14. 5",,,
1,pagina_0148-OCR.json,8,[Anónimo],Conclavi de Pontifici Romani,4º,,No,no consta,,1667,,282,8,Conclavi de Pontifici Romani 4º 1667. N.282. 8,,,
1,pagina_0148-OCR.json,9,[Anónimo],Concordantiae Bibliorum,fol.,2 tom.,No,no consta,Basileae,1496,,55,120,Concordantiae Bibliorum Concordantiae Bibliorum fol. Basileae 2 tom. 1496. N.65. 120 * corresponden a la lista de los Libros del Siglo 1º de la Imprenta.,,,
1,pagina_0148-OCR.json,10,[Anónimo],"Concordia Decisiones, y Declaraciones sobre Jurisdiccion, y Diezmos del Priorato de S. Juan con la Mitra, y S.ta Iglesia de Toledo",fol.,,No,no consta,Madrid,1733,,140,24,"Concordia Decisiones, y Declaraciones sobre Jurisdiccion, y Diezmos del Priorato de S. Juan con la Quitxa, y S. Iglesia de Toledo fol. Mad. 1733. N.140. 24",,,
1,pagina_0148-OCR.json,11,Comestagio (Geronimo Franchi),Union del Reyno de Portugal a la Corona de Castilla traduc. al Castel. por Luis de Bavia,4º,,No,no consta,Barcelona,1610,,58,18,Comestagio (Geronimo Franchi) Union del Reyno de Portugal a la Corona de Castilla traduc. al castell. por Luis de Durá: 4º Barcelona 1610. N.58. 18,,,
1,pagina_0148-OCR.json,12,Confalonerius (Jo. Baptist.),"De vini natura, ejusque alendi ac medendi facultate",8º,,No,no consta,Basileae,1535,26,26,4,"Confalonexius (To. Baptist.) De vini natura, ejusque aliendi ac medendi facultate 8º Basileae 1535. Atad.26. 4",,,
1,pagina_0148-OCR.json,13,[Anónimo],"Conferencia de Castilla, y Portugal en tres idiomas",4º,,No,no consta,Madrid,1682,,306,18,"Conferencia de Castilla, y Portugal en tres idiomas 4º Mad. 1682. N.306. 18",,,
1,pagina_0149-OCR.json,1,[Anónimo],Confidence Philosophique,8º,2 tom. 1 volum,No,pasta,Geneve,1776,,61,18,"Confidence Philosophique 8º 2 1 volumen París, Ginebra 1776 Nº 61 18",,,
1,pagina_0149-OCR.json,2,Connani (Francisci),Commentaria Juris Civilis,fol.,,No,no consta,Lug.,1566,,304,24,Connari (Francisci) Commentaria Juris Civilis fol. dug. 1566 Nº 304 24,,,
1,pagina_0149-OCR.json,3,Connelly (P. F. Thomas),"Gramatica para pronunciar, y aprender la lengua Inglesa",8º,,No,rústica,Madrid,1784,,150,15,"Connelly (P. F. Thomas) Gramatica para pronunciar, y aprender la lengua Inglesa 8º Rust. Mad. 1784 Nº 180 15",,,
1,pagina_0149-OCR.json,4,[Anónimo],Connoisance de l'esprit humain,8º,,No,pasta,Paris,1746,,104,12,Connaissance de l'esprit humain  8º París 1746 Nº 104 12,,,
1,pagina_0149-OCR.json,5,[Anónimo],Conguista de Cataluña por el Marques de Oliva y Montara,fol.,,No,no consta,Barcelona,1652,,143,15,Conguita de Cataluña por el Marques de Oliva y Montana fol. Barcelona 1652 Nº 143 15,,,
1,pagina_0149-OCR.json,6,Conradus (Brunus),De seditionibus: cum appendice Jo. Cochlaei,fol.,,No,no consta,Moguntiae,1550,,21,18,Conradus (Brunus) De seditionibus: cum appendice Jo. Cochlaei: fol. Moguntiae 1550 Nº 21 18,,,
1,pagina_0149-OCR.json,7,Conradi (Franc. Caroli),Panegyricus in quibus antiquitates et Historia Juris Utriusque,8º,,No,no consta,Helmstadii,1738,,238,12,Conradi (Franc. Caroli) Panegyricus in quibus antiquitates et Historia Juris Utriusque 8º Helmstadii 1738 Nº 238 12,,,
1,pagina_0149-OCR.json,8,Conradi (Franc. Caroli),[id.] De veris mancipiis,4º,,No,no consta,[Helmstadii],1739,,259,10,Conradi (Franc. Caroli) id De veris mancipiis ibid 1739 Nº 259 10,,,
1,pagina_0149-OCR.json,9,Conradi (Jo.),"Dissertationes, observationes, et interpretationes Jur. Civi",4º,,No,no consta,Lugd.,1749,,247,18,"Conradi (Jo.) Dissertationes, observationes, et interpretationes Jur. Civi 4º dugd 1749 Nº 247 18",,,
1,pagina_0149-OCR.json,10,Conradi Zahn (Balthasar),Ichonographia Municipalis,8º,,No,no consta,Francofurti,1650,,240,6,Conradi Zahn (Balthasar) Chronographia Municipalium 8º Francofurti 1650 Nº 240 6,,,
1,pagina_0149-OCR.json,11,Conringius (Hermannus),De origine Juris Germanici,4º,,No,no consta,Helmstadii,1669,,229,12,Conringius (Hermannus) De origine Juris Germanici 4º Helmstadii 1669 Nº 229 12,,,
1,pagina_0149-OCR.json,12,Conringius (Hermannus),[id.] De Causis antiqui ac novi habitus Germanorum Corporum,4º,,No,no consta,[Helmstadii],1652,,189,10,Conringius (Hermannus) id. De Canis antiqui ac novi habitus Germanorum Corpus 4º ibid 1652 Nº 189 10,,,
1,pagina_0149-OCR.json,13,Conringius (Hermannus),[Eiusd.] Dissertationes Academicae Selectiores,8º,,No,no consta,,1686,,250,8,Conringius (Hermannus) Eiusd. Dissertationes Academicae Selectiones 8º duod 1686 Nº 250 8,,,
1,pagina_0149-OCR.json,14,Conringius (Hermannus),De Imperii Germanici Republica,8º,,No,no consta,Ebroduni,1655,,79,14,Conringius (Hermannus) id. De Imperii Germanici Republica 8º Ebxoduni 1655 Nº 79 14,,,
1,pagina_0149-OCR.json,15,Conringius (Hermannus),De Finibus Imperii Germanici,8º,,No,no consta,Lugduni,1654,,190,12,Conringius (Hermannus) id. De Finibus Imperii Germanici 8º dugduni 1654 Nº 190 12,,,
1,pagina_0150-OCR.json,1,Conringius (Hermannus),De Civili Prudentia,4º,,No,no consta,Helmestadii,1662,,263,15,id. De Civili Prudentia 4º Hel. 60.952 mestadii 1662. N° 263. 15,,,
1,pagina_0150-OCR.json,2,Conringius (Hermannus),Exercitationes Academicae ex Republica Imperii Germanici,4º,,No,no consta,[Helmestadii],1674,,226,18,Cuid. Excitationes Academicae ex Republica Imperii Germanici 4º ibid 1674. N° 226. 18,,,
1,pagina_0150-OCR.json,3,Conringius (Hermannus),Et ad Legem Codicis Theodosiani De Studiis Liberalibus urbis Romae et Constantinopolitanae Commentarius,4º,,No,no consta,[Helmestadii],1655,,280,6,Eiusd. et aliorum Codicis Theodosiani De Studiis Liberalibus urbif Romae et Constantinopolitanae Commentationes 4º ibid 1655. N° 280. 6,,,
1,pagina_0150-OCR.json,4,[Anónimo],Considerations sur les Finances d'Espagne,12º,,No,pasta,Dresde,1753,,314,6,Considerations sur les Finances d'Espagne 12º Pasta Dxeide 1753. ex. 314. 6,,,
1,pagina_0150-OCR.json,5,Constantini (Dn Joseph Ant.),Cartas Críticas traduc. al Castel. por D. Ant. Requart,8º,12 tom.,No,pasta,Madrid,1777,,117,120,Constantini (Dr Joseph Ant.) Cartas Críticas traduc. al Castel. por D. Ant. Reouart 8º Pasta 12 tom. Mad. 1777. N° 117. 120,,,
1,pagina_0150-OCR.json,6,[Anónimo],Constantinolandi in veteres Romanorum Numismata expositio,4º,,No,no consta,Lugduni,1670,,88,15,Constantinolandi in veteres Romanorum Numismata expositio 4º dupl. 1670. N° 88. 15,,,
1,pagina_0150-OCR.json,7,[Anónimo],Constituciones del Hospital del Exercito de los Países Baxos,4º,,No,no consta,Bruselas,1685,,57,6,"Constituciones del Hospital del Exercito en los Países Bajos 4º Duxela, 1685. N° 57. 6",,,
1,pagina_0150-OCR.json,8,[Anónimo],[itt.] Del Colegio de la Concepción de Alcalá de Henares,4º,,No,pasta,Mad.,1780,,290,6,itt. Del Colegio de la Concepción de Alcalá de Henares 4º Pasta Mad. 1780. N° 290. 6,,,
1,pagina_0150-OCR.json,9,[Anónimo],[itt.] Del de S.n Pedro y S.n Pablo de la misma Villa,4º,,No,pasta,[Mad.],1780,,292,6,itt. Del R.P. Pedro y S. Pablo de la misma Villa 4º Pasta ibid 1780. Numero 292. 6,,,
1,pagina_0150-OCR.json,10,[Anónimo],"[itt.] Del mayor de Salamanca en latín, y en Castellano",fol.,,No,no consta,Salamanca,1702,,219,12,"itt. Del mayor de Salamanca en latín, y en Castellano fol. Salamanca 1702. N° 219. 12",,,
1,pagina_0150-OCR.json,11,[Anónimo],[itt.] De la Escuela Gratuita de Niñas de la Villa de Reynosa,4º,,No,no consta,Madrid,1786,,199,6,itt. De la Escuela Gratuita de Niñas de la Villa de Reynosa 4º Mad. 1786. N° 199. 6,,,
1,pagina_0150-OCR.json,12,[Anónimo],[itt.] Del Real Hospital de Granada en dha Ciudad,fol.,,No,pasta,Granada,1671,,119,15,itt. Del Real Hospital de Granada fol. endha Cuidad 1671. N° 119. Part blica 15,,,
1,pagina_0150-OCR.json,13,[Anónimo],"[itt.] De la Cofradía de los Mostenses de Madrid, Hospicios de Valladolid, y Granada y del Seminario Conciliar de Ciudad Rodrigo",4º,,No,no consta,Granada,,,220,10,"itt. De la Cofradía de los Misioneros de cuadros, Hospicios de Vallado, lid, y Granada y del Seminario Conciliar",pagina_0151-OCR.json,,
1,pagina_0151-OCR.json,2,[Anónimo],[itt.] Del Seminario Conciliar de Zaragoza,4º,,No,pasta,Zaragoza,1788,,67,10,Del Seminario Conciliar Zaragoza 4.º Pasta 1788. N 67. 10,,,
1,pagina_0151-OCR.json,3,[Anónimo],"[itt.] Insignis Collegii S. Ydefonsi, ac Academiae complutensis",fol.,,No,no consta,[Zaragoza],1716,,297,12,"Insignis Collegii S. Ydefonsi, ac Academiae complutensis fol. ibid 1716. N 297. 12",,,
1,pagina_0151-OCR.json,4,[Anónimo],[itt.] Collegii majoris Conchensis,fol.,,No,no consta,Matriti,1659,,297,8,Collegii majoris conchensis fol. Matriti 1659. N 297. 8,,,
1,pagina_0151-OCR.json,5,[Anónimo],[itt.] Regalis Collegii Granatensis de Santa Cruz,fol.,,No,no consta,[Matriti],1750,,297,12,Regalis Collegii Granatensis & Santa Cruz fol. ibid 1756 N 297. 12,,,
1,pagina_0151-OCR.json,6,[Anónimo],Consulado del Mar de Barcelona traducido del Catalan al castell. por Pallejá,fol.,,No,no consta,Barcelona,1732,,267,18,Consulado del Mar de Barcelona traducido del Catalan al castell. por Pallega: fol. Barcelona 1732. N.267. 18,,,
1,pagina_0151-OCR.json,7,[Anónimo],"Contaduria Mayor de Cuentas; Unica contribucion, Propios, y Arbitrios del Reyno",fol.,,No,no consta,Madrid,1670,,288,15,"Contaduria Mayor de Cuentas Unica contribucion, Propios, y Arbitrios del Reyno: fol. Mad. 1670. N 288. 15",,,
1,pagina_0151-OCR.json,8,Contaxemus (Gaspar),De magistratibus et Republica Venetorum,8º,,No,no consta,Venecia,1551,,227,4,Contaxemus (Gaspar) De magistratibus et Republica Venetorum: 8.º Venetiis 1551. N.227. 4,,,
1,pagina_0151-OCR.json,9,Contarenus (Thomas),De humana tranquilitate,4º,,No,no consta,Venetiis,1572,,12,12,Contaxenus (Thomas) De humana tranquilitate,,,
1,pagina_0151-OCR.json,10,Contarenus (Vicentius),Variae lectiones,8º,,No,no consta,trajecti,1754,,100,10,Contaxemus (Vicentius) Variae lectiones: 8.º trajecti 1754 N 100. 10,,,
1,pagina_0151-OCR.json,11,Contelorii (Felicis),Tractatus et Praxis de Canonizatione Sanctorum,8º,,No,no consta,Lugd.,1634,,283,8,Conteloxii (Felix) tractatus et Praevis Canonizatione Sanctorum: 8.º Lugd. 1634. N. 283. 8,,,
1,pagina_0151-OCR.json,12,Conti (D. Juan Bautista),Coleccion de Poesias Castellanas traducidas en verso toscano,8º,3 tom.,No,rústica,Madrid,1782,,5,30,Conti (D. Juan Bautista) Coleccion de Poesias Castellanas traducidas en verso toscano: 8.º 3 tom. Aust. Mad 1782. Num? 5. 30,,,
1,pagina_0151-OCR.json,13,Contii (Antonio),Juris civilis Romani initia et Progresus,12º,,No,no consta,,,,228,6,Contii (Antonio) Juris civilis Romani initia et Progresus: 12.º N 228. 6,,,
1,pagina_0151-OCR.json,14,Contii (Antonio),Collectio Reliquiarum Legum XII tabularum,8º,,No,no consta,Aureliani,1573,,249,4,Ejusd. Collectio Reliquiarum Legum XII tabularum 8.º Aureliani 1873 N 249. 4,,,
1,pagina_0152-OCR.json,1,Contii (Antonio),[Eiusd.] Opera Selecta Juridica,12º,,No,no consta,Hanoviae,1614,,250,6,Eiusd. Opera Selecta Juridica 12º Hanoviae 1614 ex 250. 6 72,,,
